pad;F.Cu;In1.Cu;In2.Cu;In3.Cu;In4.Cu;B.Cu;;Layer Name;velocity (m/s);min flight T (ps);max flight T (ps);mean flight t (s)
H13;18.633975;14.968275;14.968275;14.968275101825;14.96827520365;14.968275305475;;;;101.316;102.334;1.01825E-10
L15;18.6867705;15.0106845;15.0106845;15.0106846021135;15.010684704227;15.0106848063405;;;;101.603;102.624;1.021135E-10
U8;18.743043;15.055887;15.055887;15.055887102421;15.055887204842;15.055887307263;;;;101.909;102.933;1.02421E-10
N2;18.7929105;15.0959445;15.0959445;15.0959446026935;15.095944705387;15.0959448080805;;;;102.18;103.207;1.026935E-10
L10;18.8324385;15.1276965;15.1276965;15.1276966029095;15.127696705819;15.1276968087285;;;;102.395;103.424;1.029095E-10
M1;18.923298;15.200682;15.200682;15.200682103406;15.200682206812;15.200682310218;;;;102.889;103.923;1.03406E-10
F3;19.025961;15.283149;15.283149;15.283149103967;15.283149207934;15.283149311901;;;;103.447;104.487;1.03967E-10
V5;19.0815015;15.3277635;15.3277635;15.3277636042705;15.327763708541;15.3277638128115;;;;103.749;104.792;1.042705E-10
N4;19.1226765;15.3608385;15.3608385;15.3608386044955;15.360838708991;15.3608388134865;;;;103.973;105.018;1.044955E-10
R19;19.247208;15.460872;15.460872;15.460872105176;15.460872210352;15.460872315528;;;;104.65;105.702;1.05176E-10
P2;19.2974415;15.5012235;15.5012235;15.5012236054505;15.501223710901;15.5012238163515;;;;104.923;105.978;1.054505E-10
L14;19.3217805;15.5207745;15.5207745;15.5207746055835;15.520774711167;15.5207748167505;;;;105.056;106.111;1.055835E-10
M10;19.325715;15.523935;15.523935;15.523935105605;15.52393521121;15.523935316815;;;;105.077;106.133;1.05605E-10
D1;19.357374;15.549366;15.549366;15.549366105778;15.549366211556;15.549366317334;;;;105.249;106.307;1.05778E-10
U6;19.3684455;15.5582595;15.5582595;15.5582596058385;15.558259711677;15.5582598175155;;;;105.309;106.368;1.058385E-10
R16;19.412091;15.593319;15.593319;15.593319106077;15.593319212154;15.593319318231;;;;105.547;106.607;1.06077E-10
B18;19.475043;15.643887;15.643887;15.643887106421;15.643887212842;15.643887319263;;;;105.889;106.953;1.06421E-10
C13;19.4833695;15.6505755;15.6505755;15.6505756064665;15.650575712933;15.6505758193995;;;;105.934;106.999;1.064665E-10
B17;19.4851995;15.6520455;15.6520455;15.6520456064765;15.652045712953;15.6520458194295;;;;105.944;107.009;1.064765E-10
E1;19.5243615;15.6835035;15.6835035;15.6835036066905;15.683503713381;15.6835038200715;;;;106.157;107.224;1.066905E-10
N3;19.54623;15.70107;15.70107;15.70107010681;15.70107021362;15.70107032043;;;;106.276;107.344;1.0681E-10
M20;19.5602295;15.7123155;15.7123155;15.7123156068865;15.712315713773;15.7123158206595;;;;106.352;107.421;1.068865E-10
P1;19.686591;15.813819;15.813819;15.813819107577;15.813819215154;15.813819322731;;;;107.039;108.115;1.07577E-10
D20;19.762719;15.874971;15.874971;15.874971107993;15.874971215986;15.874971323979;;;;107.453;108.533;1.07993E-10
M22;19.7886135;15.8957715;15.8957715;15.8957716081345;15.895771716269;15.8957718244035;;;;107.594;108.675;1.081345E-10
